anime_id,Scored By
2895,456.0
4640,302.0
16680,27300.0
5535,313.0
4387,1051.0
1370,4581.0
9558,154.0
3522,1193.0
19271,291.0
4792,14039.0
10687,17043.0
4371,585.0
20381,346.0
31866,622.0
8487,5574.0
13253,2953.0
26053,684.0
8839,696.0
2207,1071.0
3273,437.0
1044,3998.0
2560,3588.0
3842,895.0
1793,7648.0
5225,4824.0
9789,400.0
1141,2716.0
9077,619.0
4481,1261.0
10723,419.0
2626,652.0
10055,852.0
20441,257.0
7578,896.0
9291,596.0
9078,252.0
950,8240.0
8109,638.0
29863,391.0
9795,279.0
25457,2813.0
7336,767.0
20469,299.0
2047,2254.0
7117,482.0
21571,2485.0
4524,697.0
6518,298.0
6310,426.0
28511,1401.0
3757,679.0
8332,184.0
7496,515.0
7157,463.0
5496,974.0
3758,283.0
22249,1343.0
5238,379.0
2312,1418.0
23399,
608,2938.0
2915,558.0
7158,414.0
2071,3177.0
13935,556.0
3153,526.0
3274,305.0
13239,4704.0
2428,703.0
18063,250.0
4388,
3147,523.0
18061,255.0
5272,281.0
5917,301.0
7547,199.0
23831,4938.0
3755,430.0
7626,276.0
4099,609.0
1107,20315.0
17325,231.0
5848,976.0
5956,319.0
2621,2135.0
2099,1642.0
10342,470.0
1361,48569.0
23697,5180.0
4475,1458.0
3905,915.0
9166,253.0
2647,284.0
8450,242.0
2293,2853.0
5386,1743.0
2550,1669.0
10013,497.0
13169,4824.0
7816,423.0
8145,359.0
2631,646.0
8547,450.0
20907,2265.0
7667,484.0
9990,913.0
3472,1074.0
2008,746.0
9163,378.0
7718,1111.0
13639,3729.0
2133,1186.0
28853,2187.0
28085,1151.0
13863,11622.0
7171,960.0
2100,1156.0
6693,300.0
8146,364.0
7598,7499.0
8548,413.0
4385,1045.0
4386,765.0
3278,218.0
5006,665.0
18637,263.0
10405,1756.0
3914,5423.0
3015,6268.0
4513,2183.0
3276,214.0
32041,355.0
7729,215.0
19731,178.0
11049,183.0
9566,844.0
7752,213.0
